Response ID,Response Status,Country Code,Region,With which gender do you identify? ,What is your age? ,What is your marital status? ,What is your race? ,What is your education level? ,In which City/County within the Roanoke Metropolitan Area do you live? ,,In which City/County within the Roanoke Metropolitan Area do you work? ,,What is the age of the firm/company/association you work in?,What is your (firm/company/association)' s size? (# number of employees or workers),If you commute to work how far is your work from your homeplace? ,Are you the owner or renter of your house? ,How many people in your household have jobs?,How many people currently live in your household?,What is your expected/desired family size in the future including yourself and any dependents?,What is your monthly earning? ,What is your industry sector?,What is your job title?,How many hours do you typically work per week at your current job?,How do you typically work in your current job? ,What is the level of importance of physical interactions with a team in order to perform your current job?,Regardless of your current working style (Remote or in-person) have you heard about anyone who works in the same profession as you but remotely no matter where?,Regardless of your current working style (Remote or in-person) have you come across any news or information sources indicating that your profession might be shifted either partially or completely towards remote work in the future?,On a scale of 1-5 please rate your agreement with the following statement: 'During the COVID-19 pandemic working from home using technological advancements in communication (e.g. Zoom Skype Teams) was efficient in performing my job tasks.',How do you usually transport to your workplace?,,,,,,Regardless of your current working style what is the future work style do you prefer? ,If you work in-person (commute to work) how would you rank your preferred living area within Roanoke Metropolitan Area considering your income and affordability? (1 is the most preferred)? ,,,,If you work remotely how would you rank your preferred areas to live within Roanoke Metropolitan Area considering your income and affordability? (1 is the most preferred)?,,,,In the past ten years how many times have you relocated your living place?,If you currently work in person in an urban area and live close to your workplace but your job is shifting to a partially remote you may be thinking about whether it makes sense to move to a suburban area. How would you contemplate relocating to the suburbs in this scenario?,If you currently work in person in an urban area and live close to your workplace but your job is shifting completely remote you may be thinking about whether it makes sense to move to a suburban area. How would you contemplate relocating to the suburbs in this scenario?,Your colleagues/friends have shifted to remote work and moved from an urban area to a suburban or rural area. Would you be able to consider a move to a rural area if you also have the option to work remotely like them?,Proximity to my workplace,Proximity to Centeral Business Area (CBD),Closest to amenities,Close to schools,Close to roads (Accessible),Close to transportation means,The sense of community (Belongingness),safety (less crime rate),Affordability for housing and living costs ,civilized and city lifestyle,rural and suburbia lifestyle,more spacious living space  & large lot size,Career growth opportunity
104589881,Completed,US,TX,1,3,2,1,5,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,3,1,3,4,5,2,5,manager,3,3,4,2,2,4,1,1,1,,,,3,1,2,3,4,2,1,3,4,3,2,3,2,2,2,4,3,4,4,4,4,4,4,4,4,4
104589885,Completed,AU,,1,3,2,1,5,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,3,1,3,4,5,2,5,manager,3,3,4,2,2,4,1,1,1,,,,3,1,2,3,4,2,1,3,4,3,2,3,2,2,2,4,3,4,4,4,4,4,4,4,4,4
104589949,Started,US,FL,1,2,2,1,,1,"SANTA ANA, California (92704)",3,"SANTA ANA, California (92705)",2,2,5,1,2,4,2,2,10,wefew,1,3,3,2,2,2,,,,1,,,2,2,3,1,4,1,3,2,4,3,2,2,2,4,4,4,4,5,4,5,4,4,3,5,4,4
104589952,Completed,GB,STN,1,3,2,2,3,6,"MORTON, Pennsylvania (19070)",6,"MORTON, Pennsylvania (19070)",4,3,8,2,2,3,4,2,5,Cement mason,3,2,3,2,2,4,,,1,,,,3,1,2,3,4,1,2,3,4,2,1,1,1,4,4,3,3,4,5,4,5,5,5,5,5,5
104589999,Completed,US,TX,1,3,2,5,5,4,"FALLS CHURCH, Virginia (22042)",1,"FALLS CHURCH, Virginia (22042)",4,3,12,1,3,5,5,3,10,manager,4,3,4,2,1,4,1,,,,,,3,2,1,3,4,3,2,1,4,2,2,3,2,4,2,3,3,3,4,3,4,4,3,3,3,4
104590266,Completed,US,PA,2,3,2,1,5,1,"ROANOKE, Virginia (24011)",1,"ROANOKE, Virginia (24011)",2,3,50,1,2,2,3,2,5,manager,3,4,3,4,2,4,1,,1,1,,,1,1,2,3,4,3,2,1,4,3,2,2,1,2,2,3,2,2,3,4,4,4,4,5,4,3
104590451,Started,US,VA,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104590553,Completed,US,GA,1,3,1,3,5,3,"BAY SAINT LOUIS, Mississippi (39520)",3,,3,2,9,1,3,3,4,3,7,manager,4,2,3,4,2,4,1,,,,,,4,1,2,3,4,1,3,2,4,2,2,2,1,5,5,5,4,4,4,5,5,4,4,4,5,5
104590604,Completed,PS,,1,3,2,1,5,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,4,1,3,4,5,2,5,manager,3,3,4,4,2,4,1,1,1,,,,3,1,2,3,4,4,3,1,2,4,2,3,2,4,2,4,3,4,4,4,4,4,4,3,4,4
104590605,Completed,US,,1,3,2,1,5,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,4,1,3,4,5,2,5,manager,3,3,4,4,2,4,1,1,1,,,,3,1,2,3,4,4,3,1,2,4,2,3,2,4,2,4,3,4,4,4,4,4,4,3,4,4
104590606,Completed,IR,,1,3,2,1,5,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,4,1,3,4,5,2,5,experience,3,3,4,4,2,4,1,1,1,,,,3,1,2,3,4,4,3,1,2,4,2,3,2,4,2,4,3,4,4,4,4,4,4,3,4,4
104590607,Completed,AU,,1,3,2,1,5,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,4,1,3,4,5,2,5,manager,3,3,4,4,2,4,1,1,1,,,,3,1,2,3,4,4,3,1,2,4,2,3,2,4,2,4,3,4,4,4,4,4,4,3,4,4
104590608,Completed,US,,2,3,2,1,5,1,"ROANOKE, Virginia (24012)",,"ROANOKE, Virginia (24012)",5,,,2,3,,,3,,,,3,4,5,3,5,1,1,1,,,,1,1,2,3,4,4,3,1,2,4,2,3,2,4,2,4,4,4,4,4,4,4,4,3,4,4
104590609,Completed,US,,1,3,2,1,5,1,"ROANOKE, Virginia (24012)",,"ROANOKE, Virginia (24012)",5,3,4,1,3,4,5,2,5,experience,3,3,4,4,2,4,1,1,1,,,,3,1,2,3,4,4,3,1,0,4,2,3,2,4,2,4,4,4,4,4,4,4,4,3,4,4
104590610,Completed,RS,,1,3,2,1,5,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,4,1,3,4,5,2,5,manager,3,3,4,4,2,4,1,1,1,,,,3,1,2,3,4,4,3,1,2,4,2,3,2,4,2,4,4,4,4,4,4,4,4,3,4,4
104590611,Completed,US,,1,3,2,1,5,1,"ROANOKE, Virginia (24012)",,"ROANOKE, Virginia (24012)",5,3,4,1,3,4,5,2,5,manager,3,3,4,4,2,4,1,1,1,,,,3,1,2,3,4,4,3,1,2,4,2,3,2,4,2,4,4,4,4,4,4,4,4,3,4,4
104590613,Completed,US,,1,3,2,1,6,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,5,1,3,4,5,2,5,experience,4,2,4,4,2,4,1,1,1,,,,3,1,2,3,4,4,3,1,2,4,2,3,2,4,2,4,4,4,4,4,4,4,4,3,4,4
104590614,Completed,US,,1,3,2,1,6,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,5,1,3,4,5,2,5,manager,4,2,4,4,2,4,1,1,1,,,,3,1,2,3,4,4,3,1,2,4,2,3,2,4,2,4,4,4,4,4,4,4,4,3,4,4
104590615,Completed,US,,1,3,2,1,6,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,5,1,3,4,5,2,5,manager,4,2,4,4,2,4,1,1,1,,,,3,1,2,3,4,4,3,1,2,4,2,3,2,4,2,4,4,4,4,4,4,4,4,3,4,4
104590617,Completed,AU,VIC,1,3,2,1,6,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,5,1,3,4,5,2,5,manager,4,2,4,4,2,4,1,1,1,,,,3,1,2,3,4,4,3,1,2,4,2,3,2,4,2,4,4,4,4,4,4,4,4,3,4,4
104590618,Completed,US,,2,3,2,1,6,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,5,1,3,4,5,2,5,experience,4,2,4,4,2,4,1,1,1,,,,1,1,2,3,4,4,3,1,2,4,2,3,1,4,2,4,4,4,4,4,4,4,4,3,4,4
104590619,Completed,US,VA,2,3,2,1,6,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,5,1,3,4,5,2,5,manager,4,2,4,4,2,4,1,1,1,,,,1,1,2,3,4,4,3,1,2,4,2,3,1,4,2,4,4,4,4,4,4,4,4,3,4,4
104590620,Completed,US,,2,3,2,1,6,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,5,1,3,4,5,2,5,manager,4,2,4,4,2,4,1,1,1,,,,1,1,2,3,4,4,3,1,2,4,2,3,1,4,2,4,4,4,4,4,4,4,4,3,4,4
104590621,Completed,US,,2,3,2,1,6,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,5,1,3,4,5,2,5,manager,4,2,4,4,2,4,1,1,1,,,,1,1,2,3,4,4,3,1,2,4,2,3,1,4,2,4,4,4,4,4,4,4,4,3,4,4
104590622,Completed,PS,NBS,2,3,2,1,6,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,2,1,3,4,5,2,5,manager,4,2,4,4,2,4,1,1,1,,,,1,1,2,3,4,4,3,1,2,4,2,3,1,4,2,4,4,4,4,4,4,4,4,3,4,4
104590623,Completed,HU,,2,3,2,1,6,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,2,1,3,4,5,2,5,manager,4,2,4,4,2,4,1,1,1,,,,1,1,2,3,4,4,3,1,2,4,2,3,1,4,2,4,4,4,4,4,4,4,4,3,4,4
104590624,Completed,US,VA,2,3,2,1,6,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,2,1,3,4,5,2,5,experience,4,2,4,4,2,4,1,1,1,,,,1,1,2,3,4,4,3,1,2,4,2,3,1,4,2,4,4,4,4,4,4,4,4,3,4,4
104590625,Completed,US,,2,3,2,1,6,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,2,1,3,4,5,2,5,manager,4,2,4,4,2,4,1,1,1,,,,1,1,2,3,4,4,3,1,2,4,2,3,1,4,2,4,4,4,4,4,4,4,4,3,4,4
104590911,Completed,US,NY,1,3,2,1,2,4,"ELK GROVE, California (95624)",4,"ELK GROVE, California (95624)",3,3,30,1,2,3,4,2,4,supervisor,3,3,3,3,2,4,1,1,1,,,,3,1,2,3,4,1,2,3,4,3,2,2,2,3,4,3,4,3,4,3,3,3,3,3,3,3
104590938,Completed,US,MI,2,3,2,1,5,,"PHILADELPHIA, Pennsylvania (19108)",1,,1,2,30,1,2,3,4,2,,,3,1,2,2,2,4,1,,,,,,1,1,0,0,0,1,0,0,0,3,1,1,2,2,3,3,4,3,5,3,5,3,3,3,4,5
104591028,Completed,US,NY,1,3,2,2,5,4,"CRAIG, Colorado (81625)",4,"CRAIG, Colorado (81625)",2,2,5,2,3,4,5,2,4,accounting,3,3,2,3,3,4,,,,1,,,3,2,3,1,4,1,2,3,4,3,2,2,2,4,3,4,3,4,4,4,4,4,4,3,3,5
104591105,Completed,US,IL,1,3,2,2,5,4,"DELAWARE, Ohio (43015)",3,"DELAWARE, Ohio (43015)",2,2,,1,1,3,2,1,5,CIO,2,1,2,3,2,4,,1,,,,,2,1,4,3,2,2,3,1,4,2,2,1,1,4,5,4,4,5,4,4,5,4,4,3,4,4
104591106,Completed,US,NY,1,3,2,2,5,4,"NEW YORK, New York (10118)",3,"NEW YORK, New York (10118)",2,2,10,1,1,3,2,1,5,CIO,2,1,2,3,2,4,,1,,,,,2,1,4,3,2,2,3,1,4,2,2,1,1,4,5,4,4,5,4,4,5,4,4,3,4,4
104591108,Completed,US,NJ,1,3,2,2,5,4,"SAN FRANCISCO, California (94142)",3,"SAN FRANCISCO, California (94142)",2,2,10,1,1,3,2,1,5,CIO,2,1,2,3,2,4,,1,,,,,2,1,4,3,2,2,3,1,4,2,2,1,1,4,5,4,4,5,4,4,5,4,4,3,4,4
104591109,Completed,RO,,1,3,2,2,5,4,"SAN FRANCISCO, California (94105)",3,"SAN FRANCISCO, California (94105)",2,2,10,1,1,3,2,1,5,CIO,2,1,2,3,2,4,,1,,,,,2,1,4,3,2,2,3,1,4,2,2,1,1,4,5,4,4,5,4,4,5,4,4,3,4,4
104591110,Completed,US,NC,1,3,2,2,5,4,"NEW YORK, New York (10004)",3,"NEW YORK, New York (10004)",2,2,10,1,1,3,2,1,5,CIO,2,1,2,3,2,4,,1,,,,,2,1,4,3,2,2,3,1,4,2,2,1,1,4,5,4,4,5,4,4,5,4,4,3,4,4
104591330,Completed,US,TX,1,3,2,1,5,3,"SAN FRANCISCO, California (94142)",1,"SAN FRANCISCO, California (94142)",1,2,,1,2,3,2,1,1,CIO,2,2,2,2,2,4,,1,,,,,1,1,4,3,2,2,3,4,1,2,1,1,1,2,2,2,3,4,4,4,5,4,5,3,5,4
104591331,Completed,US,TX,1,5,2,1,5,3,"ASHBURN, Virginia (20147)",2,"ASHBURN, Virginia (20147)",3,4,10,1,2,3,2,2,12,CEO,2,3,4,3,2,4,1,,,,,,1,2,3,4,1,3,2,1,4,2,1,1,1,3,1,2,3,4,4,4,5,4,3,4,5,4
104591332,Completed,US,KY,1,3,2,1,5,3,"TAMPA, Florida (33614)",1,"TAMPA, Florida (33614)",1,2,10,1,2,3,2,1,1,CIO,2,2,2,1,2,4,,1,,,,,1,1,4,3,2,2,3,4,1,2,1,1,1,2,2,2,3,4,4,4,5,4,5,3,5,4
104591333,Completed,US,AZ,1,4,2,1,6,5,"CHICAGO, Illinois (60666)",1,"CHICAGO, Illinois (60666)",2,3,,2,2,3,3,3,2,CFO,3,1,3,1,3,4,,,1,,,,2,3,2,4,1,2,4,3,1,3,2,2,1,2,3,3,3,5,4,4,4,4,5,3,4,4
104591334,Completed,US,NE,1,4,2,1,6,5,"SAN FRANCISCO, California (94142)",1,"SAN FRANCISCO, California (94142)",2,3,10,2,2,3,3,3,2,CFO,3,1,3,1,3,4,,,1,,,,2,3,2,4,1,2,4,3,1,3,2,2,1,2,3,3,3,5,4,4,4,4,5,3,4,4
104591335,Completed,US,CA,1,3,2,1,5,3,"WILMINGTON, Delaware (19801)",1,"WILMINGTON, Delaware (19801)",1,2,10,1,2,3,2,1,1,CIO,2,2,2,2,2,4,,1,,,,,1,1,4,3,2,2,3,4,1,2,1,1,1,2,2,2,3,4,4,4,5,4,5,3,5,4
104591336,Completed,US,NY,1,5,2,1,5,3,"WOODBRIDGE, Virginia (22193)",2,"WOODBRIDGE, Virginia (22193)",3,4,10,1,2,3,2,2,12,CEO,2,3,4,3,2,4,1,,,,,,1,2,3,4,1,3,2,1,4,2,1,1,1,3,1,2,3,4,4,4,5,4,3,4,5,4
104591337,Completed,US,CA,1,5,2,1,5,3,"WILMINGTON, North Carolina (28403)",2,"WILMINGTON, North Carolina (28403)",3,4,10,1,2,3,2,2,12,CEO,2,3,4,3,2,4,1,,,,,,1,2,3,4,1,3,2,1,4,2,1,2,1,2,1,2,3,4,4,4,5,4,3,4,5,4
104591338,Completed,US,GA,1,4,2,1,6,5,"TITUSVILLE, Florida (32780)",1,"TITUSVILLE, Florida (32780)",2,3,10,2,2,3,3,3,2,CFO,3,1,3,1,3,4,,,1,,,,2,3,2,4,1,2,4,3,1,3,2,2,1,2,3,3,3,5,4,4,4,4,5,3,4,4
104591339,Completed,US,MA,1,4,2,1,6,5,"NEW YORK, New York (10004)",1,"NEW YORK, New York (10004)",2,3,10,2,2,3,3,3,2,CFO,3,1,3,5,3,1,,,,,,,2,3,2,4,1,2,4,3,1,3,2,2,1,2,3,3,3,5,4,4,4,4,5,3,4,4
104591340,Completed,US,NY,1,3,2,1,5,3,"HOLLYWOOD, Florida (33025)",2,"HOLLYWOOD, Florida (33025)",1,2,10,1,2,3,2,1,1,CIO,2,2,2,2,2,4,,1,,,,,1,1,4,3,2,2,3,4,1,2,1,1,1,2,2,2,3,4,4,4,5,4,5,3,5,4
104591341,Completed,US,NV,1,4,2,1,6,5,"SAN FRANCISCO, California (94103)",1,"SAN FRANCISCO, California (94103)",2,3,10,2,2,3,3,3,2,CFO,3,1,3,1,3,4,,,1,,,,2,3,2,4,1,2,4,3,1,3,2,2,1,2,3,3,3,5,4,4,4,4,5,3,4,4
104591342,Completed,US,CA,2,4,2,1,6,4,"CHARLOTTE, North Carolina (28202)",4,"CHARLOTTE, North Carolina (28202)",3,2,10,1,2,3,1,2,13,CIO,1,3,3,2,1,4,,1,,,,,1,2,4,1,3,3,1,4,2,2,1,1,1,2,2,1,4,4,5,4,3,4,5,4,4,4
104591343,Completed,US,FL,1,5,2,1,5,3,"NEW YORK, New York (10118)",2,"NEW YORK, New York (10118)",3,4,,1,2,3,2,2,12,CEO,2,3,4,3,2,4,1,,,,,,1,2,3,4,1,3,2,1,4,2,1,1,1,3,1,2,3,4,4,4,5,4,3,4,5,4
104591344,Completed,US,NY,1,3,2,1,5,3,"SAN FRANCISCO, California (94142)",2,"SAN FRANCISCO, California (94142)",1,2,10,1,2,3,2,1,1,CIO,2,2,2,2,2,4,,1,,,,,1,1,4,3,2,2,3,4,1,2,1,1,1,2,2,2,3,4,4,4,5,4,5,3,5,4
104591345,Completed,US,KS,2,6,2,1,5,3,"AVON, Colorado (81620)",5,"AVON, Colorado (81620)",2,2,10,1,2,3,1,2,7,CEO,2,1,3,3,3,4,1,,,,,,2,2,3,4,1,2,3,1,4,2,2,2,1,2,4,3,4,4,4,4,5,3,4,5,4,4
104591346,Completed,US,CA,2,6,2,1,5,3,"SAN FRANCISCO, California (94103)",5,"SAN FRANCISCO, California (94103)",2,2,10,1,2,3,1,2,7,CEO,2,1,3,3,3,4,1,,,,,,2,2,3,4,1,2,3,1,4,2,2,2,1,2,4,3,4,4,4,4,5,3,4,5,4,4
104591347,Completed,US,VA,2,6,2,1,5,3,"ASHBURN, Virginia (20149)",5,"ASHBURN, Virginia (20149)",2,2,,1,2,3,1,2,7,CEO,2,1,3,3,3,4,1,,,,,,2,2,3,4,1,2,3,1,4,2,2,2,1,2,4,3,4,4,4,4,5,3,4,5,4,4
104591349,Completed,US,FL,2,6,2,1,5,3,"NEW YORK, New York (10004)",5,"NEW YORK, New York (10004)",2,2,10,1,2,3,1,2,7,CEO,2,1,3,3,3,4,1,,,,,,2,2,3,4,1,2,3,1,4,2,2,2,1,2,4,3,4,4,4,4,5,3,4,5,4,4
104591350,Completed,US,CA,2,5,2,1,5,2,"SAN FRANCISCO, California (94142)",5,"SAN FRANCISCO, California (94142)",3,3,10,2,2,3,2,3,12,CFO,2,3,4,4,1,4,1,,,,,,1,4,1,3,2,3,4,2,1,3,2,2,1,3,3,3,4,5,4,4,5,4,5,4,3,4
104591351,Completed,US,GA,2,5,2,1,5,2,"JEFFERSON, North Carolina (28640)",5,"JEFFERSON, North Carolina (28640)",3,3,,2,2,3,2,3,12,CFO,2,3,4,4,1,4,1,,,,,,1,4,1,3,2,3,4,2,1,3,2,2,1,3,3,3,4,5,4,4,5,4,5,4,3,4
104591352,Completed,US,OR,2,5,2,1,5,2,"SAN FRANCISCO, California (94142)",5,"SAN FRANCISCO, California (94142)",3,3,10,2,2,3,2,3,12,CFO,2,3,4,4,1,4,1,,,,,,1,4,1,3,2,3,4,2,1,3,2,2,1,3,3,3,4,5,4,4,5,4,5,4,3,4
104591353,Completed,US,VA,2,4,2,1,6,4,"RESTON, Virginia (20191)",4,"RESTON, Virginia (20191)",3,2,10,1,2,3,1,2,13,CIO,1,3,3,2,1,4,,1,,,,,1,2,4,1,3,3,1,4,2,2,1,1,1,2,2,1,4,4,5,4,3,4,5,4,4,4
104591354,Completed,US,,1,5,2,1,5,3,"NEW YORK, New York (10118)",2,"NEW YORK, New York (10118)",3,4,10,1,2,3,2,2,12,CEO,2,3,4,3,2,4,1,,,,,,1,2,3,4,1,3,2,1,4,2,1,1,1,3,1,2,3,4,4,4,5,4,3,4,5,4
104591355,Completed,US,GA,2,4,2,1,6,4,"SAN FRANCISCO, California (94142)",4,"SAN FRANCISCO, California (94142)",3,2,10,1,2,3,1,2,13,CIO,1,3,3,2,1,4,,1,,,,,1,2,4,1,3,3,1,4,2,2,1,1,1,2,2,1,4,4,5,4,3,4,5,4,4,4
104591356,Completed,US,NC,2,5,2,1,5,2,"MESA, Arizona (85210)",5,"MESA, Arizona (85210)",3,3,10,2,2,3,2,3,12,CFO,2,3,4,4,1,4,1,,,,,,1,4,1,3,2,3,4,2,1,3,2,2,1,3,3,3,4,5,4,4,5,4,5,4,3,4
104591357,Completed,US,IA,2,4,2,1,6,4,"RACELAND, Louisiana (70394)",4,"RACELAND, Louisiana (70394)",3,2,,1,2,3,1,2,13,CIO,1,3,3,2,1,4,,1,,,,,1,2,4,1,3,3,1,4,2,2,1,1,1,2,2,1,4,4,5,4,3,4,5,4,4,4
104591358,Completed,US,OH,2,4,2,1,6,4,"METAIRIE, Louisiana (70001)",4,"METAIRIE, Louisiana (70001)",3,2,10,1,2,3,1,2,13,CIO,1,3,3,2,1,4,,1,,,,,1,2,4,1,3,3,1,4,2,2,1,1,1,2,2,1,4,4,5,4,3,4,5,4,4,4
104591359,Completed,US,KY,1,5,2,1,5,3,"RICHMOND, Virginia (23235)",2,"RICHMOND, Virginia (23235)",3,4,10,1,2,3,2,2,12,CEO,2,3,4,3,2,4,1,,,,,,1,2,3,4,1,3,2,1,4,2,1,1,1,3,1,2,3,4,4,4,5,4,3,4,5,4
104591360,Completed,US,NY,2,4,2,1,6,4,"SAN FRANCISCO, California (94142)",4,"SAN FRANCISCO, California (94142)",3,2,10,1,2,3,1,2,13,CIO,1,3,3,2,1,4,,1,,,,,1,2,4,1,3,3,1,4,2,2,1,1,1,2,2,1,4,4,5,4,3,4,5,4,4,4
104591361,Completed,US,MA,2,6,2,1,5,3,"EITZEN, Minnesota (55931)",5,"EITZEN, Minnesota (55931)",2,2,10,1,2,3,1,2,7,CEO,2,1,3,3,3,4,1,,,,,,2,2,3,4,1,2,3,1,4,2,2,2,1,2,4,3,4,4,4,4,5,3,4,5,4,4
104591363,Completed,US,OH,2,3,2,1,5,4,"OPA LOCKA, Florida (33055)",3,"OPA LOCKA, Florida (33055)",2,3,10,2,2,3,3,1,18,COO,3,2,3,3,2,5,1,,,,,,2,2,3,1,4,1,4,2,3,2,2,2,1,3,3,3,4,4,4,5,4,4,3,4,4,5
104591364,Completed,US,GA,2,3,2,1,5,4,"NEW YORK, New York (10004)",3,"NEW YORK, New York (10004)",2,3,,2,2,3,3,1,18,COO,3,2,3,3,2,5,1,,,,,,2,2,3,1,4,1,4,2,3,2,2,2,1,3,3,3,4,4,4,5,4,4,3,4,4,5
104591365,Completed,US,FL,2,3,2,1,5,4,"SIOUX FALLS, South Dakota (57101)",3,"SIOUX FALLS, South Dakota (57101)",2,3,10,2,2,3,3,1,18,COO,3,2,3,3,2,5,1,,,,,,2,2,3,1,4,1,4,2,3,2,2,3,1,3,3,3,4,4,4,5,4,4,3,4,4,5
104591366,Completed,US,PA,2,3,2,1,5,4,"SAN FRANCISCO, California (94142)",3,"SAN FRANCISCO, California (94142)",2,3,10,2,2,3,3,1,18,COO,3,2,3,2,2,5,1,,,,,,2,2,3,1,4,1,4,2,3,2,2,3,1,3,3,3,4,4,4,5,4,4,3,4,4,5
104591367,Completed,US,,2,5,2,1,5,2,"HERNDON, Virginia (20170)",5,"HERNDON, Virginia (20170)",3,3,10,2,2,3,2,3,12,CFO,2,3,4,4,1,4,1,,,,,,1,4,1,3,2,3,4,2,1,3,2,2,1,3,3,3,4,5,4,4,5,4,5,4,3,4
104591368,Completed,US,FL,2,3,2,1,5,4,"MC BEE, South Carolina (29101)",3,"MC BEE, South Carolina (29101)",2,3,10,2,2,3,3,1,18,COO,3,2,3,3,2,5,1,,,,,,2,2,3,1,4,1,4,2,3,2,2,2,1,2,3,3,4,4,4,5,4,4,3,4,4,5
104591369,Completed,US,CA,2,3,2,1,5,4,"SAN FRANCISCO, California (94107)",3,"SAN FRANCISCO, California (94107)",2,3,10,2,2,3,3,1,18,COO,3,2,3,3,2,5,1,,,,,,2,2,3,1,4,1,4,2,3,2,2,2,1,3,3,3,4,4,4,5,4,4,3,4,4,5
104591370,Completed,US,IN,1,3,2,1,5,3,"SAN FRANCISCO, California (94119)",2,"SAN FRANCISCO, California (94119)",1,2,10,1,2,3,2,1,1,CIO,2,2,2,2,2,4,,1,,,,,1,1,4,3,2,2,3,4,1,2,1,1,1,2,2,2,3,4,4,4,5,4,5,3,5,4
104591471,Completed,US,,2,3,2,3,5,4,"CRAIG, Colorado (81626)",4,"CRAIG, Colorado (81626)",4,2,15,1,2,2,4,3,8,employee,3,3,4,2,2,4,1,,,,,,4,4,3,2,1,4,3,2,1,2,2,2,1,5,3,5,3,3,4,2,4,5,5,2,4,4
104591750,Completed,US,IL,1,3,1,2,3,4,"TOLEDO, Ohio (43614)",4,"TOLEDO, Ohio (43614)",3,2,3,2,3,3,5,2,15,教练,3,3,3,3,2,5,,,1,,,,2,1,2,3,4,1,2,4,3,4,2,2,2,3,3,3,4,2,2,3,4,3,3,3,3,3
104591814,Completed,US,CO,1,3,2,3,2,3,"CHICAGO, Illinois (60606)",3,"CHICAGO, Illinois (60606)",2,2,50,1,2,2,2,2,8,manager,2,1,2,2,1,4,,,,1,,,1,1,2,3,4,3,1,2,4,3,1,1,1,3,5,4,4,5,4,5,5,4,5,5,4,5
104591815,Completed,US,IL,1,3,2,3,2,3,"CHICAGO, Illinois (60606)",3,"CHICAGO, Illinois (60606)",2,2,50,1,2,2,2,2,8,manager,2,1,2,2,1,4,,,,1,,,1,1,2,3,4,3,1,2,4,3,1,1,1,3,5,4,4,5,4,5,5,4,5,5,4,5
104591816,Completed,US,CA,1,3,2,3,2,3,"CHICAGO, Illinois (60606)",3,"CHICAGO, Illinois (60606)",2,2,50,1,2,2,2,2,8,manager,2,1,2,2,1,4,,,,1,,,1,1,2,3,4,3,1,2,4,3,1,1,1,3,5,4,4,5,4,5,5,4,5,5,4,5
104591817,Completed,US,TX,1,3,2,3,2,3,"CHICAGO, Illinois (60606)",3,"CHICAGO, Illinois (60606)",2,2,50,1,2,2,2,2,8,manager,2,1,2,2,1,4,,,,1,,,1,1,2,3,4,3,1,2,4,3,1,1,1,3,5,4,4,5,4,5,5,4,5,5,4,5
104591818,Completed,US,ID,1,3,2,3,2,3,"CHICAGO, Illinois (60606)",3,"CHICAGO, Illinois (60606)",2,2,50,1,2,2,2,2,8,manager,2,1,2,2,1,4,,,,1,,,1,1,2,3,4,3,1,2,4,3,1,1,1,3,5,4,4,5,4,5,5,4,5,5,4,5
104591828,Completed,US,MN,,2,1,3,2,3,"CHICAGO, Illinois (60606)",3,"CHICAGO, Illinois (60606)",2,2,50,1,2,2,2,2,8,manager,2,1,2,2,1,4,,,,1,,,1,1,2,3,4,3,1,2,4,3,1,1,1,3,5,4,4,5,4,5,5,4,5,5,4,5
104591912,Completed,US,FL,1,3,1,2,5,4,"PORT DEPOSIT, Maryland (21904)",4,"PORT DEPOSIT, Maryland (21904)",5,3,18,2,3,5,5,2,5,operator,4,2,2,1,1,2,,1,1,,,,4,4,3,2,1,4,1,2,3,4,2,2,3,4,2,4,1,1,3,3,4,4,2,2,3,4
